"sales_review","positive","negative","net_tone","Buyer","Seller","Date","rating","price_USD","review_text","meta_category"
1,1,-1,0,"Cello","acidboypcm","8/27/2017",-5,294,"Do NOT trust this guy, never received package and no replies! ","Weed"
2,1,-2,-1,"DesertEagle69","acidboypcm","10/3/2017",-5,1019,"No package, no response. Don't trust.","Weed"
3,0,-2,-2,"borisblyat914","acidboypcm","8/31/2017",-5,448,"No package and no messages back","Weed"
4,5,0,5,"cambodia2017","acidboypcm","5/25/2017",5,440,"very good thank you","Opium"
5,0,0,0,"32aB97","acidboypcm","8/24/2017",-5,433,"NEver received ored vendor never responds","Analgesics"
6,0,0,0,"swolenguns1","acidboypcm","6/27/2017",5,715,"Packaged well and shipped fast. Thumbs up!","Analgesics"
7,5,0,5,"wubbalubbadubdub","acidboypcm","6/5/2017",5,407,"Well, it took a couple weeks, but was well worth the wait.  You can't get the real deal in America and this is the real deal folks.  Still have to try it but the smell has been confirmed by friends.  Acidboy is a solidly good guy!","Opium"
8,2,0,2,"arye0007","acidboypcm","6/2/2017",4,482,"Better late than never","Opium"
9,0,0,0,"GoHobo909","acidboypcm","9/24/2017",-1,333,"I bought from him and payed for express delivery and it's been almost a month and I NEVER received it","Heroin"
10,0,-1,-1,"bobittNCHS","acidboypcm","9/19/2017",-5,272,"its been 28 days, nothing has arrived, no answers to messages","Tapentadol"
11,2,0,2,"LennySquiggs","acidboypcm","8/6/2017",-5,393,"i didn't recieve my delivery. Vendor will not respond to my messages. As of now, would not recommend you buy from them.","Loreazepam"
12,0,0,0,"32aB97","acidboypcm","8/29/2017",-5,236,"Order never received vendor never responds","Tramadol"
13,3,0,3,"interdose38","acidboypcm","6/10/2017",5,314,"Order arrived in good time, and the packaging was ingenious. Props to your creativity! ","Tapentadol"
14,0,0,0,"32aB97","acidboypcm","8/27/2017",-5,244,"Never received order vendor never replies ","Tramadol"
15,0,0,0,"32aB97","acidboypcm","9/5/2017",-5,300,"Order never received vendor never replies","Tramadol"
16,3,0,3,"freda154","acidboypcm","4/26/2017",5,702,"Exactly as decribed. Very happy!","Tapentadol"
17,3,0,3,"Jjrosk","acidboypcm","6/15/2017",5,733,"Good communication","Loreazepam"
18,3,0,3,"freda154","acidboypcm","6/16/2017",5,693,"Great customer service","Tapentadol"
19,0,-1,-1,"Battleship1","acidboypcm","5/14/2017",0,495,"Never got my stuff and didn't get confirmation of order being cancelled until way after I was supposed to get my stuff ","Tramadol"
20,6,0,6,"sexmachine","AliExpresssss","10/6/2017",5,65,"Fantastic stealth, speedy and prompt delivery. Thanks a million will order plenty more from this vendor!!!","Ecstasy"
21,6,0,6,"kikinimod","AliExpresssss","1/3/2018",5,111,"very good stuff, very fast delivery Great !","Heroin"
22,6,0,6,"MattyMoo45","AliExpresssss","12/5/2017",5,19,"Fantastic. Honest vendor.","Heroin"
23,3,0,3,"hollywood","AliExpresssss","9/25/2017",5,249,"Good stealth","Heroin"
24,6,0,6,"kikinimod","AliExpresssss","1/10/2018",5,199,"The stuff is really good and the shipping very fast. All good !","Heroin"
25,3,-6,-3,"Sharpei","AliExpresssss","9/22/2017",5,62,"Very good vendor ! i had problem with reception of my order, nerver receiveid. i wait a moment, and tell my problem to him. He responded to me vety quickly, very serious, and fix the problem in less 2 days. You can trut him, and place your orders !","Heroin"
26,3,0,3,"kinimod","AliExpresssss","12/4/2017",5,58,"product perfect !","Heroin"
27,0,0,0,"l3fts0ck","AliExpresssss","11/12/2017",5,39,"Arrived maybe a few days less than two weeks after ordered (I'm in the US so as expected) Product is legit. Will definitely order more.","Heroin"
28,7,0,7,"PortCityGuy72","AliExpresssss","12/18/2017",5,19,"Very honest and accommodating. Resolves any issues with speed and understanding. Best H vendor Ive found on three markets ","Heroin"
29,5,0,5,"kinimod","AliExpresssss","12/4/2017",5,115,"all perfect, like always !","Heroin"
30,3,0,3,"Milagre","AliExpresssss","9/4/2017",5,344,"Excellent Seller","Heroin"
31,6,0,6,"kinimod","AliExpresssss","10/6/2017",5,747,"fast delivery, very good stuff all perfect !","Heroin"
32,6,0,6,"Milagre","AliExpresssss","9/9/2017",5,395,"Excellent product, Great Professional!","Heroin"
33,5,0,5,"kavan","AliExpresssss","11/8/2017",5,88,"PERFECT !!!!!! Thanks . ","Heroin"
34,0,0,0,"Ashbury9999tess","AliExpresssss","10/9/2017",5,50,"Quick delivery.","Heroin"
35,0,-2,-2,"Dillbert84","AliExpresssss","12/7/2017",-5,42,"Use another vendor. This one is a scam. Ordered was shipped Dec 8th. I never received it and vendor refuses to do anything about it   AliExpress guarantees delivery unless youre a new customer. ","Heroin"
36,5,0,5,"kikinimod","AliExpresssss","9/8/2017",5,226,"Thanks ! All is just perfect !","Heroin"
37,3,0,3,"brandnewshape","AliExpresssss","1/8/2018",5,43,"PERFECT !","Heroin"
38,5,0,5,"brandnewshape","AliExpresssss","1/4/2018",5,45,"Perfect, as always !!! Top Seller !!!","Heroin"
39,2,0,2,"brandnewshape","AliExpresssss","12/9/2017",5,43,"well receivbed this time, thank you ! ","Heroin"
40,3,0,3,"brandnewshape","AliExpresssss","12/5/2017",5,57,"PERFECT ! As Always !","Heroin"
41,4,-6,-2,"brandnewshape","AliExpresssss","11/30/2017",5,106,"ORDER NEVER RECEIVED. SHIPPED A SECOND TIME BY THE SELLER BUT NEVER RECEIVED. BAD EXPERIENCE THIS TIME DESPITE MY TRUST IN THAT GREAT SELLER !!! TOO BAD...","Heroin"
42,3,0,3,"brandnewshape","AliExpresssss","11/2/2017",5,93,"PERFECT !","Heroin"
43,6,0,6,"azax666","AliExpresssss","12/17/2017",5,84,"Good vendor, fast communication & really good product. will come back for sure ;)","Heroin"
44,6,0,6,"azax666","AliExpresssss","12/5/2017",5,57,"fast shipping. Good quality. Nice order thkx","Heroin"
45,6,0,6,"mindtBuyer","AliExpresssss","11/12/2017",5,45,"quick delivery. awesome stuff. thanks bro!","Heroin"
46,5,0,5,"mindtBuyer","AliExpresssss","10/11/2017",5,68,"Super quick delivery. Thank you!","Heroin"
47,8,0,8,"balanovo","AliExpresssss","11/12/2017",5,113,"I am very happy! Excellent job! Thank you!","Heroin"
48,6,0,6,"balanovo","AliExpresssss","10/10/2017",5,48,"Simply perfect. I'm very happy. Reccomend it! ","Heroin"
49,3,0,3,"CaptComp","AliExpresssss","11/21/2017",5,201,"Good quality and fast shiipping","Heroin"
50,0,0,0,"andy63","AliExpresssss","1/25/2018",5,30,"my orfer was sent on friday and arrived in uk wednesday.","Heroin"
51,2,-1,1,"andy63","AliExpresssss","11/28/2017",5,23,"No feedbacgod size cooks for iv very clean. will see you again for larger amountk.","Heroin"
52,3,0,3,"kinimod","AliExpresssss","10/31/2017",5,263,"Very good stuff !","Heroin"
53,0,-1,-1,"ChildSound","AliExpresssss","11/25/2017",-5,211,"not received, vendor says delayed, but its to long.....reship and too not received.......","Heroin"
54,0,-1,-1,"ChildSound","AliExpresssss","11/25/2017",-5,191,"not received, vendor says delayed, but its to long.....reship and too not received.......","Heroin"
55,0,-1,-1,"ChildSound","AliExpresssss","11/25/2017",-5,191,"not received, vendor says delayed, but its to long.....reship and too not received.......","Heroin"
56,6,0,6,"ChildSound","AliExpresssss","11/15/2017",5,137,"Perfect quality, fast shipping.... Very good vendor, know i have not received, but i know its come soon","Heroin"
57,9,0,9,"ChildSound","AliExpresssss","10/25/2017",5,286,"Perfect quality, food price!!! A perfect vendor. The order arrived me fast. When you buy by him, you are happy about this!!!","Heroin"
58,6,0,6,"ChildSound","AliExpresssss","10/21/2017",5,55,"all perfect, one of the best vendor on sr","Heroin"
